@relation 'pacmanInformation-weka.filters.unsupervised.attribute.Remove-R7-8,17-22-weka.filters.unsupervised.attribute.Remove-R16'

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
11,7,None,None,East,West,4,3,9,7,9,5,18,8,1188,West
10,7,None,South,East,West,4,3,9,6,9,6,18,8,1287,West
10,6,North,South,None,West,3,3,9,7,9,7,18,7,1286,South
9,6,North,South,East,None,4,3,8,7,5,1,18,6,1485,West
9,7,None,South,East,West,4,3,3,1,6,1,18,7,1784,North
8,7,None,None,East,West,4,3,2,1,7,1,18,6,1883,West
7,7,None,None,East,West,4,3,1,1,6,1,18,7,1982,West
6,7,North,South,East,West,4,3,1,1,6,2,18,7,2081,West
6,6,North,South,None,None,4,3,1,2,6,2,18,8,2180,South
6,5,North,South,None,West,5,3,1,1,6,2,18,8,2279,South
5,5,None,None,East,West,4,3,1,1,6,2,18,7,2378,West
4,5,None,None,East,West,4,2,2,1,6,3,18,8,2477,West
3,5,North,South,East,West,4,1,3,1,6,2,18,9,2576,West
3,4,North,South,None,None,4,1,3,1,6,1,18,9,2675,South
3,3,North,None,East,None,3,1,4,1,6,1,18,8,2674,South
4,3,None,South,East,West,3,1,4,1,7,1,18,9,2773,East
5,3,None,None,East,West,2,1,4,2,7,1,18,9,2872,East
6,3,North,South,East,West,1,1,4,3,7,1,18,8,2971,East
6,3,North,South,East,West,1,2,5,3,8,1,18,8,2970,East
6,3,North,South,East,West,1,3,3,1,7,1,18,8,3169,East
6,3,North,South,East,West,1,2,2,1,7,1,18,7,3168,East
6,2,North,South,None,None,1,1,1,1,8,1,18,8,3267,South
6,1,North,None,East,None,1,1,2,1,8,1,18,9,3366,South
7,1,None,None,East,West,1,2,3,1,5,1,18,9,3665,East
8,1,None,None,East,West,1,1,3,1,4,1,18,9,3764,East
