@relation 'pacmanInformation-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R7-8,17-22'

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
13,6,North,South,East,West,5,6,5,12,5,1,7,1,385,South
12,6,North,South,East,West,5,6,5,12,5,1,7,1,384,West
11,6,North,South,East,West,5,6,5,12,5,1,7,1,383,West
10,6,North,South,East,West,5,6,5,12,5,1,7,1,382,West
9,6,North,South,East,West,5,6,5,12,5,1,7,1,381,West
8,6,North,South,East,West,5,6,5,12,5,1,7,1,380,West
7,6,North,South,East,West,5,6,5,12,5,1,7,1,379,West
6,6,North,South,East,West,5,6,5,12,5,1,7,1,378,West
5,6,North,South,East,West,1,1,5,12,5,1,7,1,577,West
5,7,North,South,East,West,1,1,5,12,5,1,7,1,576,North
5,8,North,South,East,West,1,1,5,12,5,1,7,1,575,North
5,9,None,South,East,West,1,1,5,12,5,1,7,1,574,North
6,9,North,South,East,West,1,1,5,12,5,1,7,1,573,East
6,10,North,South,East,None,1,1,5,12,5,1,7,1,572,North
6,11,North,South,East,West,1,1,5,12,5,1,7,1,571,North
6,12,North,South,East,West,1,1,5,12,5,1,7,1,570,North
6,13,North,South,East,West,1,1,5,12,5,1,7,1,569,North
6,14,None,South,East,West,1,1,5,12,5,1,7,1,568,North
5,14,None,South,East,West,1,1,5,12,5,1,7,1,567,West
5,13,North,South,East,West,1,1,5,12,5,1,7,1,566,South
12,10,North,South,East,West,5,6,5,12,13,6,13,12,0,Stop
12,10,North,South,East,West,5,5,4,12,13,6,13,12,-1,Stop
12,10,North,South,East,West,5,4,4,12,13,6,13,12,-2,Stop
13,10,North,South,East,West,6,4,4,12,13,6,12,12,-3,East
13,11,North,South,East,West,6,3,4,11,14,6,12,12,-4,North
12,11,North,South,East,West,5,3,4,12,14,6,7,1,195,West
11,11,North,South,East,West,4,3,4,13,15,6,7,1,194,West
11,10,North,South,East,West,4,4,4,13,15,6,7,1,193,South
11,9,North,South,East,West,4,5,4,14,15,6,7,1,192,South
11,8,North,South,East,West,3,5,5,14,14,6,7,1,191,South
11,7,North,South,East,West,4,5,5,14,15,6,7,1,190,South
12,7,North,South,East,West,4,5,6,14,14,6,7,1,189,East
13,7,North,South,East,West,4,4,5,14,14,5,7,1,188,East
14,7,North,South,East,West,4,3,6,14,14,4,7,1,187,East
14,6,North,South,East,West,4,4,6,13,15,4,7,1,186,South
14,5,North,South,East,West,5,4,6,13,16,4,7,1,185,South
14,4,North,South,East,West,5,3,7,13,15,4,7,1,184,South
15,4,North,South,East,West,4,3,8,13,5,1,7,1,383,East
16,4,North,South,East,West,4,4,8,12,5,1,7,1,382,East
15,4,North,South,East,West,4,5,7,12,5,1,7,1,381,West
14,4,North,South,East,West,4,6,8,12,5,1,7,1,380,West
13,4,North,South,East,West,5,6,8,12,5,1,7,1,379,West
12,4,North,South,East,West,5,5,8,12,5,1,7,1,378,West
11,4,North,South,East,West,5,4,8,11,5,1,7,1,377,West
10,4,North,South,East,West,5,4,8,11,5,1,7,1,376,West
9,4,North,South,East,West,5,3,9,11,5,1,7,1,375,West
8,4,North,South,East,West,6,3,10,11,5,1,7,1,374,West
7,4,North,South,East,West,6,3,10,12,5,1,7,1,373,West
6,4,North,South,East,West,1,1,9,12,5,1,7,1,572,West
7,4,North,South,East,West,1,1,8,12,5,1,7,1,571,East
8,4,North,South,East,West,1,1,8,12,5,1,7,1,570,East
8,5,North,South,East,West,1,1,8,12,5,1,7,1,569,North
8,6,North,South,East,West,1,1,9,12,5,1,7,1,568,North
8,7,North,South,East,West,1,1,9,12,5,1,7,1,567,North
8,8,North,South,East,West,1,1,10,12,5,1,7,1,566,North
8,9,North,South,East,West,1,1,10,11,5,1,7,1,565,North
8,10,North,South,East,West,1,1,10,10,5,1,7,1,564,North
