@relation 'pacmanInformation-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R7-8,17-22'

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
2,10,None,South,East,West,1,1,3,1,1,8,7,1,690,West
2,9,North,South,East,West,1,1,3,1,1,8,7,1,689,South
2,8,North,South,East,West,1,1,3,1,1,9,7,1,688,South
1,8,North,South,East,None,1,1,3,1,1,10,7,1,687,West
1,9,North,South,East,None,1,1,3,1,2,10,7,1,786,North
2,9,North,South,East,West,1,1,3,1,3,10,7,1,785,East
2,10,None,South,East,West,1,1,3,1,3,9,7,1,784,North
3,10,None,South,East,West,1,1,3,1,4,9,7,1,783,East
1,3,North,None,East,None,1,10,2,8,2,9,3,7,0,Stop
1,4,North,South,East,None,2,10,2,7,2,9,3,7,-1,North
2,4,North,South,East,West,2,9,3,7,2,8,3,6,-2,East
2,5,North,South,East,West,2,8,3,7,2,7,2,6,-3,North
2,6,North,South,East,West,2,9,2,7,5,1,7,1,396,North
2,7,North,South,East,West,2,9,3,1,5,1,7,1,595,North
2,8,North,South,East,West,3,9,3,1,5,1,7,1,594,North
2,9,North,South,East,West,4,9,3,1,5,1,7,1,593,North
1,3,North,None,East,None,1,10,2,8,2,9,3,7,0,Stop
1,4,North,South,East,None,1,9,2,8,3,9,3,7,-1,North
2,4,North,South,East,West,1,10,3,8,3,10,2,7,-2,East
2,5,North,South,East,West,1,10,3,7,2,10,2,7,-3,North
2,6,North,South,East,West,2,10,3,8,2,9,7,1,196,North
2,7,North,South,East,West,3,10,4,8,1,9,7,1,195,North
2,8,North,South,East,West,3,9,4,8,1,9,7,1,194,North
2,9,North,South,East,West,3,10,4,8,5,1,7,1,393,North
2,10,None,South,East,West,3,10,4,7,5,1,7,1,392,North
3,10,None,South,East,West,1,1,3,7,5,1,7,1,591,East
3,9,North,South,East,West,1,1,2,7,5,1,7,1,690,South
1,3,North,None,East,None,1,10,2,8,2,9,3,7,0,Stop
1,4,North,South,East,None,2,10,3,8,2,9,3,7,-1,North
2,4,North,South,East,West,3,10,3,8,2,10,3,6,-2,East
2,5,North,South,East,West,4,10,3,8,1,10,3,6,-3,North
2,6,North,South,East,West,4,10,2,8,1,10,3,6,-4,North
2,7,North,South,East,West,3,10,2,9,2,10,4,6,-5,North
2,8,North,South,East,West,3,10,3,1,2,10,4,7,194,North
2,9,North,South,East,West,3,10,3,1,5,1,4,6,393,North
2,10,None,South,East,West,1,1,3,1,5,1,3,6,592,North
3,10,None,South,East,West,1,1,3,1,5,1,3,5,591,East
3,9,North,South,East,West,1,1,3,1,5,1,2,5,690,South
3,8,North,South,East,West,1,1,3,1,5,1,2,5,689,South
3,7,North,South,East,West,1,1,3,1,5,1,2,4,688,South
3,6,North,South,East,West,1,1,3,1,5,1,2,4,687,South
3,5,North,South,East,West,1,1,3,1,5,1,1,4,786,South
3,4,North,South,East,West,1,1,3,1,5,1,1,4,785,South
2,4,North,South,East,West,1,1,3,1,5,1,1,5,784,West
2,5,North,South,East,West,1,1,3,1,5,1,1,4,783,North
1,5,North,South,East,None,1,1,3,1,5,1,1,3,782,West
1,4,North,South,East,None,1,1,3,1,5,1,2,3,781,South
1,3,North,None,East,None,1,10,2,8,2,9,3,7,0,Stop
1,4,North,South,East,None,1,10,1,8,2,10,3,7,-1,North
1,5,North,South,East,None,1,10,1,7,1,10,3,8,-2,North
1,6,North,South,East,None,1,10,2,7,1,9,4,8,-3,North
2,6,North,South,East,West,1,9,3,1,1,8,4,8,196,East
2,7,North,South,East,West,1,8,3,1,1,7,4,7,195,North
1,7,North,South,East,None,1,9,3,1,5,1,4,8,494,West
1,8,North,South,East,None,1,10,3,1,5,1,4,8,493,North
1,9,North,South,East,None,1,1,3,1,5,1,4,8,792,North
2,9,North,South,East,West,1,1,3,1,5,1,4,8,791,East
2,8,North,South,East,West,1,1,3,1,5,1,4,9,790,South
3,8,North,South,East,West,1,1,3,1,5,1,5,9,789,East
3,9,North,South,East,West,1,1,3,1,5,1,5,10,888,North
3,10,None,South,East,West,1,1,3,1,5,1,5,10,887,North
1,3,North,None,East,None,1,10,2,8,2,9,3,7,0,Stop
1,4,North,South,East,None,1,10,2,8,2,8,3,7,-1,North
2,4,North,South,East,West,2,10,1,8,2,9,4,7,-2,East
2,5,North,South,East,West,1,10,1,8,1,9,4,7,-3,North
2,6,North,South,East,West,1,9,2,8,1,9,3,7,-4,North
2,7,North,South,East,West,1,8,2,8,2,9,3,6,-5,North
2,8,North,South,East,West,1,7,3,1,2,10,2,6,194,North
1,8,North,South,East,None,1,1,3,1,1,10,3,6,393,West
1,9,North,South,East,None,1,1,3,1,2,10,2,6,492,North
2,9,North,South,East,West,1,1,3,1,3,10,2,6,491,East
2,10,None,South,East,West,1,1,3,1,3,10,2,6,490,North
3,10,None,South,East,West,1,1,3,1,5,1,2,7,689,East
3,9,North,South,East,West,1,1,3,1,5,1,2,8,788,South
3,8,North,South,East,West,1,1,3,1,5,1,2,8,787,South
1,3,North,None,East,None,1,10,2,8,2,9,3,7,0,Stop
1,4,North,South,East,None,1,9,3,8,3,9,3,7,-1,North
2,4,North,South,East,West,1,8,3,9,4,9,3,6,-2,East
2,5,North,South,East,West,1,7,3,8,5,9,3,7,-3,North
2,6,North,South,East,West,1,6,3,8,5,10,3,6,196,North
1,6,North,South,East,None,1,1,3,7,5,9,7,1,395,West
1,7,North,South,East,None,1,1,4,7,5,9,7,1,494,North
2,7,North,South,East,West,1,1,5,7,5,10,7,1,493,East
3,7,North,South,East,West,1,1,4,7,6,10,7,1,492,East
4,7,North,South,East,West,1,1,3,1,7,10,7,1,691,East
4,8,North,South,East,West,1,1,3,1,7,9,7,1,690,North
4,9,North,South,East,West,1,1,3,1,7,9,7,1,689,North
5,9,North,South,East,West,1,1,3,1,7,8,7,1,688,East
1,3,North,None,East,None,1,10,2,8,2,9,3,7,0,Stop
1,4,North,South,East,None,2,10,2,7,2,8,3,7,-1,North
2,4,North,South,East,West,2,9,2,8,2,9,3,7,-2,East
2,5,North,South,East,West,1,9,2,7,3,9,3,6,-3,North
2,6,North,South,East,West,1,9,3,1,3,10,4,6,196,North
3,6,North,South,East,West,2,9,3,1,3,10,4,5,195,East
3,5,North,South,East,West,2,9,3,1,3,9,4,5,294,South
4,5,North,South,East,West,2,10,3,1,3,10,7,1,493,East
4,6,North,South,East,West,1,10,3,1,2,10,7,1,492,North
4,7,North,South,East,West,1,10,3,1,1,10,7,1,491,North
4,8,North,South,East,West,1,9,3,1,1,9,7,1,490,North
4,9,North,South,East,West,2,9,3,1,1,9,7,1,489,North
3,9,North,South,East,West,2,8,3,1,2,9,7,1,588,West
4,3,None,None,East,West,1,2,3,1,4,1,14,2,0,Stop
5,3,None,None,East,West,1,2,3,1,4,1,14,2,-1,East
6,3,None,None,None,West,1,2,3,1,4,1,14,2,-2,East
5,3,None,None,East,West,1,2,3,1,4,1,14,2,-3,West
4,3,None,None,East,West,1,2,3,1,4,1,14,2,-4,West
3,3,None,None,East,West,1,2,3,1,4,1,14,2,-5,West
2,3,None,None,East,West,1,2,3,1,4,1,14,2,-6,West
1,3,None,South,East,None,1,2,3,1,4,1,14,2,-7,West
1,2,North,South,None,None,1,1,3,1,4,1,14,2,192,South
1,1,North,None,East,None,1,1,3,1,4,1,14,2,691,South
2,1,None,None,East,West,1,1,3,1,4,1,14,2,790,East
3,1,None,None,East,West,1,1,3,1,4,1,14,2,1189,East
4,1,None,None,East,West,1,1,3,1,5,1,14,2,1388,East
5,1,None,None,East,West,1,1,3,1,5,1,14,2,1787,East
6,1,None,None,East,West,1,1,3,1,5,1,14,2,1786,East
7,1,None,None,East,West,1,1,3,1,5,1,14,2,1785,East
8,1,None,None,East,West,1,1,3,1,5,1,14,2,1784,East
9,1,North,None,East,West,1,1,3,1,5,1,14,2,1783,East
9,2,North,South,None,None,1,1,3,1,5,1,14,2,1782,North
9,3,None,South,East,West,1,1,3,1,5,1,14,2,1781,North
10,3,None,None,East,West,1,1,3,1,5,1,14,2,1780,East
11,3,None,None,East,West,1,1,3,1,5,1,14,2,1779,East
12,3,None,None,East,West,1,1,3,1,5,1,14,2,1778,East
13,3,None,None,East,West,1,1,3,1,5,1,14,2,1777,East
4,3,None,None,East,West,1,2,3,1,4,1,14,2,0,Stop
5,3,None,None,East,West,1,2,3,1,4,1,14,2,-1,East
6,3,None,None,None,West,1,2,3,1,4,1,14,2,-2,East
5,3,None,None,East,West,1,2,3,1,4,1,14,2,-3,West
4,3,None,None,East,West,1,2,3,1,4,1,14,2,-4,West
3,3,None,None,East,West,1,2,3,1,4,1,14,2,-5,West
2,3,None,None,East,West,1,2,3,1,4,1,14,2,-6,West
1,3,None,South,East,None,1,2,3,1,4,1,14,2,-7,West
1,2,North,South,None,None,1,1,3,1,4,1,14,2,192,South
1,1,North,None,East,None,1,1,3,1,4,1,14,2,691,South
2,1,None,None,East,West,1,1,3,1,4,1,14,2,790,East
3,1,None,None,East,West,1,1,3,1,4,1,14,2,1189,East
4,1,None,None,East,West,1,1,3,1,5,1,14,2,1388,East
5,1,None,None,East,West,1,1,3,1,5,1,14,2,1787,East
6,1,None,None,East,West,1,1,3,1,5,1,14,2,1786,East
7,1,None,None,East,West,1,1,3,1,5,1,14,2,1785,East
8,1,None,None,East,West,1,1,3,1,5,1,14,2,1784,East
9,1,North,None,East,West,1,1,3,1,5,1,14,2,1783,East
9,2,North,South,None,None,1,1,3,1,5,1,14,2,1782,North
9,3,None,South,East,West,1,1,3,1,5,1,14,2,1781,North
10,3,None,None,East,West,1,1,3,1,5,1,14,2,1780,East
11,3,None,None,East,West,1,1,3,1,5,1,14,2,1779,East
12,3,None,None,East,West,1,1,3,1,5,1,14,2,1778,East
13,3,None,None,East,West,1,1,3,1,5,1,14,2,1777,East
4,3,None,None,East,West,1,2,3,1,4,1,14,2,0,Stop
5,3,None,None,East,West,1,2,3,1,5,1,14,2,-1,East
6,3,None,None,None,West,1,1,3,1,6,1,14,2,-2,East
5,3,None,None,East,West,2,1,4,1,5,1,14,3,-3,West
4,3,None,None,East,West,3,1,5,1,4,1,14,2,-4,West
3,3,None,None,East,West,4,1,5,1,4,1,14,3,-5,West
2,3,None,None,East,West,3,1,6,1,4,1,14,3,-6,West
1,3,None,South,East,None,4,1,6,1,3,1,14,3,-7,West
1,2,North,South,None,None,5,1,6,1,2,1,14,2,-8,South
1,1,North,None,East,None,5,1,6,1,2,1,14,1,91,South
2,1,None,None,East,West,6,1,5,1,6,1,13,1,390,East
3,1,None,None,East,West,7,1,6,1,6,1,14,1,389,East
4,1,None,None,East,West,6,1,6,1,7,1,14,2,388,East
5,1,None,None,East,West,7,1,7,1,8,1,14,3,387,East
6,1,None,None,East,West,8,1,3,1,7,1,14,3,586,East
7,1,None,None,East,West,1,1,3,1,5,1,14,2,985,East
8,1,None,None,East,West,1,2,2,1,6,1,14,2,984,East
9,1,North,None,East,West,1,2,1,1,6,1,14,1,983,East
10,1,None,None,None,West,1,1,1,1,7,1,14,2,982,East
9,1,North,None,East,West,2,1,2,1,8,1,14,3,981,West
