@relation 'pacmanInformation-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R7-8,17-22'

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
10,1,None,None,East,West,3,3,9,5,10,5,18,9,99,East
11,1,None,None,East,West,3,4,10,5,9,5,18,8,198,East
12,1,None,None,East,West,3,5,10,5,9,6,18,8,297,East
13,1,North,None,None,West,3,6,11,5,9,6,18,8,396,East
13,2,North,South,None,None,3,6,10,5,9,5,18,7,495,North
13,3,North,South,East,West,3,6,9,5,8,5,18,8,594,North
13,4,North,South,None,None,3,6,9,6,9,5,18,9,693,North
13,5,North,South,East,None,3,5,9,5,9,6,17,9,792,North
13,6,North,South,None,None,3,5,10,5,9,6,18,9,891,North
13,7,North,South,East,West,3,6,9,5,9,5,18,9,990,North
12,7,None,None,East,West,3,7,9,6,9,5,18,9,1089,West
11,7,None,None,East,West,3,7,9,6,10,5,17,9,1188,West
10,7,None,South,East,West,4,7,9,5,10,5,17,9,1287,West
10,6,North,South,None,West,5,7,8,5,9,5,18,9,1286,South
9,6,North,South,East,None,6,7,9,5,9,5,18,8,1285,West
9,5,North,None,East,West,5,7,3,1,4,1,18,8,1684,South
8,5,None,None,East,None,5,7,3,1,4,2,18,9,1683,West
9,5,North,None,East,West,5,7,4,1,4,3,17,9,1682,East
9,6,North,South,East,None,6,7,4,1,4,3,18,9,1681,North
9,7,None,South,East,West,7,7,3,1,4,3,18,8,1780,North
8,7,None,None,East,West,6,7,4,1,4,2,18,7,1879,West
7,7,None,None,East,West,6,7,3,1,4,1,18,6,1978,West
6,7,North,South,East,West,1,1,2,1,4,2,18,7,2277,West
6,6,North,South,None,None,2,1,3,1,4,2,18,7,2376,South
6,5,North,South,None,West,2,1,2,1,4,1,18,7,2475,South
6,4,North,South,None,None,3,1,1,1,4,1,18,8,2574,South
6,3,North,South,East,West,3,1,1,2,3,1,18,8,2673,South
6,2,North,South,None,None,2,1,1,2,4,1,18,9,2772,South
6,1,North,None,East,None,3,1,1,2,4,1,18,9,2871,South
7,1,None,None,East,West,3,1,1,2,4,1,18,8,2970,East
8,1,None,None,East,West,2,1,1,1,4,1,18,8,3069,East
9,1,None,None,East,West,2,1,1,2,4,1,18,8,3068,East
10,1,None,None,East,West,2,1,1,2,3,1,18,8,3067,East
11,1,None,None,East,West,2,1,1,3,3,1,18,8,3066,East
12,1,None,None,East,West,3,1,1,3,4,1,18,7,3065,East
13,1,North,None,None,West,4,1,1,4,4,1,18,6,3064,East
13,2,North,South,None,None,3,1,1,3,3,1,18,7,3063,North
13,3,North,South,East,West,2,1,1,3,2,1,18,7,3062,North
13,4,North,South,None,None,2,1,1,2,1,1,18,6,3061,North
13,5,North,South,East,None,2,1,1,2,1,1,18,6,3060,North
14,5,None,None,East,West,3,1,1,3,1,2,18,7,3159,East
15,5,None,None,East,West,3,1,1,3,1,2,18,8,3258,East
16,5,North,South,East,West,3,1,1,4,1,2,18,7,3357,East
16,6,North,South,None,None,2,1,1,4,1,1,18,8,3456,North
16,7,None,South,None,West,3,1,1,5,2,1,18,9,3555,North
15,7,North,None,East,West,4,1,1,4,3,1,18,9,3654,West
15,8,North,South,None,None,4,2,1,5,4,1,18,9,3753,North
15,9,None,South,East,None,4,3,1,4,4,2,18,8,3852,North
9,1,None,None,East,West,3,3,8,5,11,5,18,9,0,Stop
10,1,None,None,East,West,3,4,9,5,10,5,18,9,99,East
11,1,None,None,East,West,3,3,9,5,10,6,18,9,198,East
12,1,None,None,East,West,3,4,9,6,9,6,17,9,297,East
13,1,North,None,None,West,3,4,10,6,10,6,16,9,396,East
13,2,North,South,None,None,3,3,9,6,10,5,16,9,495,North
13,3,North,South,East,West,3,3,9,5,9,5,17,9,594,North
13,4,North,South,None,None,3,4,9,5,9,6,17,9,693,North
13,5,North,South,East,None,3,5,9,6,10,6,18,9,792,North
13,6,North,South,None,None,4,5,9,7,10,5,18,8,891,North
13,7,North,South,East,West,5,5,8,7,11,5,18,9,990,North
12,7,None,None,East,West,6,5,8,7,11,5,18,8,1089,West
11,7,None,None,East,West,5,5,9,7,11,5,18,7,1188,West
10,7,None,South,East,West,5,5,9,7,10,5,18,7,1287,West
9,7,None,South,East,West,4,5,4,1,10,6,18,8,1586,West
9,6,North,South,East,None,5,5,4,1,10,6,18,9,1585,South
10,6,North,South,None,West,6,5,4,2,4,1,18,9,1784,East
10,5,North,None,East,West,6,5,4,3,4,1,18,8,1783,South
9,5,North,None,East,West,6,4,5,3,4,2,18,8,1782,West
8,5,None,None,East,None,6,5,6,3,4,1,18,8,1781,West
9,5,North,None,East,West,6,6,6,2,4,1,18,9,1780,East
9,6,North,South,East,None,6,5,6,3,4,2,18,9,1779,North
9,7,None,South,East,West,6,6,7,3,4,2,18,9,1778,North
8,7,None,None,East,West,6,7,6,3,4,2,18,8,1877,West
7,7,None,None,East,West,1,1,6,3,4,3,18,9,2176,West
6,7,North,South,East,West,1,2,5,3,5,3,18,8,2275,West
6,6,North,South,None,None,1,3,5,3,5,3,18,8,2374,South
6,5,North,South,None,West,1,2,5,3,5,3,18,8,2473,South
5,5,None,None,East,West,1,2,6,3,4,3,18,7,2572,West
4,5,None,None,East,West,1,3,5,3,4,3,18,8,2671,West
3,5,North,South,East,West,1,2,5,3,4,2,18,9,2770,West
3,4,North,South,None,None,1,3,4,3,4,3,17,9,2869,South
3,3,North,None,East,None,1,4,5,3,4,3,16,9,2868,South
4,3,None,South,East,West,1,5,3,1,6,1,16,9,3367,East
5,3,None,None,East,West,1,6,2,1,6,2,16,9,3466,East
