@relation 'pacmanInformation-weka.filters.unsupervised.attribute.Remove-R7-8,17-22-weka.filters.unsupervised.attribute.Remove-R16'

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
8,6,North,South,East,West,5,6,5,12,5,1,7,1,378,West
7,6,North,South,East,West,5,6,5,12,5,1,7,1,377,West
6,6,North,South,East,West,5,6,5,12,5,1,7,1,376,West
5,6,North,South,East,West,1,1,5,12,5,1,7,1,575,West
5,7,North,South,East,West,1,1,5,12,5,1,7,1,574,North
5,8,North,South,East,West,1,1,5,12,5,1,7,1,573,North
5,9,None,South,East,West,1,1,5,12,5,1,7,1,572,North
6,9,North,South,East,West,1,1,5,12,5,1,7,1,571,East
6,10,North,South,East,None,1,1,5,12,5,1,7,1,570,North
6,11,North,South,East,West,1,1,5,12,5,1,7,1,569,North
5,11,North,None,East,West,1,1,5,12,5,1,7,1,568,West
12,10,North,South,East,West,5,6,5,12,13,6,13,12,0,Stop
12,11,North,South,East,West,5,6,5,12,13,6,13,12,-1,North
12,12,North,South,East,West,5,6,5,12,13,6,13,12,-2,North
12,13,North,South,East,West,5,6,5,12,13,6,13,12,-3,North
12,14,None,South,East,West,5,6,5,12,13,6,13,12,-4,North
12,13,North,South,East,West,5,6,5,12,13,6,13,12,-5,South
12,12,North,South,East,West,5,6,5,12,13,6,13,12,-6,South
12,11,North,South,East,West,5,6,5,12,13,6,13,12,-7,South
12,10,North,South,East,West,5,6,5,12,13,6,13,12,-8,South
12,11,North,South,East,West,5,6,5,12,13,6,13,12,-9,North
12,12,North,South,East,West,5,6,5,12,13,6,13,12,-10,North
13,12,North,South,East,West,5,6,5,12,13,6,7,1,189,East
14,12,North,South,East,West,5,6,5,12,13,6,7,1,188,East
14,11,North,South,East,West,5,6,5,12,13,6,7,1,187,South
14,10,North,South,East,West,5,6,5,12,13,6,7,1,186,South
14,9,North,South,East,West,5,6,5,12,13,6,7,1,185,South
14,8,North,South,East,West,5,6,5,12,13,6,7,1,184,South
14,7,North,South,East,West,5,6,5,12,13,6,7,1,183,South
14,6,North,South,East,West,5,6,5,12,13,6,7,1,182,South
13,6,North,South,East,West,5,6,5,12,5,1,7,1,381,West
12,6,North,South,East,West,5,6,5,12,5,1,7,1,380,West
11,6,North,South,East,West,5,6,5,12,5,1,7,1,379,West
10,6,North,South,East,West,5,6,5,12,5,1,7,1,378,West
9,6,North,South,East,West,5,6,5,12,5,1,7,1,377,West
8,6,North,South,East,West,5,6,5,12,5,1,7,1,376,West
7,6,North,South,East,West,5,6,5,12,5,1,7,1,375,West
6,6,North,South,East,West,5,6,5,12,5,1,7,1,374,West
5,6,North,South,East,West,1,1,5,12,5,1,7,1,573,West
5,7,North,South,East,West,1,1,5,12,5,1,7,1,572,North
5,8,North,South,East,West,1,1,5,12,5,1,7,1,571,North
5,9,None,South,East,West,1,1,5,12,5,1,7,1,570,North
6,9,North,South,East,West,1,1,5,12,5,1,7,1,569,East
6,10,North,South,East,None,1,1,5,12,5,1,7,1,568,North
6,11,North,South,East,West,1,1,5,12,5,1,7,1,567,North
5,11,North,None,East,West,1,1,5,12,5,1,7,1,566,West
12,10,North,South,East,West,5,6,5,12,13,6,13,12,0,Stop
12,11,North,South,East,West,5,6,5,12,13,6,13,12,-1,North
12,12,North,South,East,West,5,6,5,12,13,6,13,12,-2,North
12,13,North,South,East,West,5,6,5,12,13,6,13,12,-3,North
12,14,None,South,East,West,5,6,5,12,13,6,13,12,-4,North
13,14,None,South,East,West,5,6,5,12,13,6,13,12,-5,East
13,13,North,South,East,West,5,6,5,12,13,6,13,12,-6,South
13,12,North,South,East,West,5,6,5,12,13,6,7,1,193,South
13,11,North,South,East,West,5,6,5,12,13,6,7,1,192,South
13,10,North,South,East,West,5,6,5,12,13,6,7,1,191,South
13,9,North,South,East,West,5,6,5,12,13,6,7,1,190,South
13,8,North,South,East,West,5,6,5,12,13,6,7,1,189,South
13,7,North,South,East,West,5,6,5,12,13,6,7,1,188,South
13,6,North,South,East,West,5,6,5,12,5,1,7,1,387,South
12,6,North,South,East,West,5,6,5,12,5,1,7,1,386,West
11,6,North,South,East,West,5,6,5,12,5,1,7,1,385,West
10,6,North,South,East,West,5,6,5,12,5,1,7,1,384,West
9,6,North,South,East,West,5,6,5,12,5,1,7,1,383,West
8,6,North,South,East,West,5,6,5,12,5,1,7,1,382,West
7,6,North,South,East,West,5,6,5,12,5,1,7,1,381,West
6,6,North,South,East,West,5,6,5,12,5,1,7,1,380,West
5,6,North,South,East,West,1,1,5,12,5,1,7,1,579,West
5,7,North,South,East,West,1,1,5,12,5,1,7,1,578,North
5,8,North,South,East,West,1,1,5,12,5,1,7,1,577,North
5,9,None,South,East,West,1,1,5,12,5,1,7,1,576,North
6,9,North,South,East,West,1,1,5,12,5,1,7,1,575,East
6,10,North,South,East,None,1,1,5,12,5,1,7,1,574,North
6,11,North,South,East,West,1,1,5,12,5,1,7,1,573,North
12,10,North,South,East,West,5,6,5,12,13,6,13,12,0,Stop
12,10,North,South,East,West,5,6,5,12,13,6,13,12,-1,Stop
12,10,North,South,East,West,5,6,5,12,13,6,13,12,-2,Stop
12,11,North,South,East,West,5,6,5,12,13,6,13,12,-3,North
12,12,North,South,East,West,5,6,5,12,13,6,13,12,-4,North
13,12,North,South,East,West,5,6,5,12,13,6,7,1,195,East
13,11,North,South,East,West,5,6,5,12,13,6,7,1,194,South
13,10,North,South,East,West,5,6,5,12,13,6,7,1,193,South
13,9,North,South,East,West,5,6,5,12,13,6,7,1,192,South
13,8,North,South,East,West,5,6,5,12,13,6,7,1,191,South
13,7,North,South,East,West,5,6,5,12,13,6,7,1,190,South
13,6,North,South,East,West,5,6,5,12,5,1,7,1,389,South
12,6,North,South,East,West,5,6,5,12,5,1,7,1,388,West
11,6,North,South,East,West,5,6,5,12,5,1,7,1,387,West
10,6,North,South,East,West,5,6,5,12,5,1,7,1,386,West
9,6,North,South,East,West,5,6,5,12,5,1,7,1,385,West
8,6,North,South,East,West,5,6,5,12,5,1,7,1,384,West
7,6,North,South,East,West,5,6,5,12,5,1,7,1,383,West
6,6,North,South,East,West,5,6,5,12,5,1,7,1,382,West
5,6,North,South,East,West,1,1,5,12,5,1,7,1,581,West
5,7,North,South,East,West,1,1,5,12,5,1,7,1,580,North
5,8,North,South,East,West,1,1,5,12,5,1,7,1,579,North
5,9,None,South,East,West,1,1,5,12,5,1,7,1,578,North
6,9,North,South,East,West,1,1,5,12,5,1,7,1,577,East
6,10,North,South,East,None,1,1,5,12,5,1,7,1,576,North
6,11,North,South,East,West,1,1,5,12,5,1,7,1,575,North
5,11,North,None,East,West,1,1,5,12,5,1,7,1,574,West
12,10,North,South,East,West,5,6,5,12,13,6,13,12,0,Stop
12,11,North,South,East,West,5,6,5,12,13,6,13,12,-1,North
12,12,North,South,East,West,5,6,5,12,13,6,13,12,-2,North
12,13,North,South,East,West,5,6,5,12,13,6,13,12,-3,North
12,14,None,South,East,West,5,6,5,12,13,6,13,12,-4,North
13,14,None,South,East,West,5,6,5,12,13,6,13,12,-5,East
13,13,North,South,East,West,5,6,5,12,13,6,13,12,-6,South
13,12,North,South,East,West,5,6,5,12,13,6,7,1,193,South
13,11,North,South,East,West,5,6,5,12,13,6,7,1,192,South
13,10,North,South,East,West,5,6,5,12,13,6,7,1,191,South
13,9,North,South,East,West,5,6,5,12,13,6,7,1,190,South
13,8,North,South,East,West,5,6,5,12,13,6,7,1,189,South
13,7,North,South,East,West,5,6,5,12,13,6,7,1,188,South
13,6,North,South,East,West,5,6,5,12,5,1,7,1,387,South
12,6,North,South,East,West,5,6,5,12,5,1,7,1,386,West
11,6,North,South,East,West,5,6,5,12,5,1,7,1,385,West
10,6,North,South,East,West,5,6,5,12,5,1,7,1,384,West
9,6,North,South,East,West,5,6,5,12,5,1,7,1,383,West
8,6,North,South,East,West,5,6,5,12,5,1,7,1,382,West
7,6,North,South,East,West,5,6,5,12,5,1,7,1,381,West
6,6,North,South,East,West,5,6,5,12,5,1,7,1,380,West
5,6,North,South,East,West,1,1,5,12,5,1,7,1,579,West
5,7,North,South,East,West,1,1,5,12,5,1,7,1,578,North
5,8,North,South,East,West,1,1,5,12,5,1,7,1,577,North
5,9,None,South,East,West,1,1,5,12,5,1,7,1,576,North
6,9,North,South,East,West,1,1,5,12,5,1,7,1,575,East
6,10,North,South,East,None,1,1,5,12,5,1,7,1,574,North
6,11,North,South,East,West,1,1,5,12,5,1,7,1,573,North
6,12,North,South,East,West,1,1,5,12,5,1,7,1,572,North
6,13,North,South,East,West,1,1,5,12,5,1,7,1,571,North
6,14,None,South,East,West,1,1,5,12,5,1,7,1,570,North
6,13,North,South,East,West,1,1,5,12,5,1,7,1,569,South
6,12,North,South,East,West,1,1,5,12,5,1,7,1,568,South
12,10,North,South,East,West,5,6,5,12,13,6,13,12,0,Stop
11,10,North,South,East,West,5,6,5,12,13,6,13,12,-1,West
10,10,North,South,East,West,5,6,5,12,13,6,13,12,-2,West
9,10,North,South,East,West,5,6,5,12,13,6,13,12,-3,West
8,10,North,South,East,West,5,6,5,12,13,6,13,12,-4,West
7,10,North,South,East,West,5,6,5,12,13,6,13,12,-5,West
7,9,North,South,East,West,5,6,5,12,13,6,13,12,-6,South
7,8,North,South,East,West,5,6,5,12,13,6,13,12,-7,South
6,8,North,South,East,West,5,6,5,12,13,6,13,12,-8,West
5,8,North,South,East,West,5,6,5,12,13,6,13,12,-9,West
5,7,North,South,East,West,5,6,5,12,13,6,13,12,-10,South
5,6,North,South,East,West,1,1,5,12,13,6,13,12,189,South
6,6,North,South,East,West,1,1,5,12,13,6,13,12,188,East
7,6,North,South,East,West,1,1,5,12,13,6,13,12,187,East
8,6,North,South,East,West,1,1,5,12,13,6,13,12,186,East
9,6,North,South,East,West,1,1,5,12,13,6,13,12,185,East
