@relation 'pacmanInformation-weka.filters.unsupervised.attribute.Remove-R7-8,17-22'

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute Score numeric
@attribute NextScore numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
12,12,North,South,East,West,5,6,5,12,13,6,13,12,-2,-3,North
12,13,North,South,East,West,5,6,5,12,13,6,13,12,-3,-4,North
12,14,None,South,East,West,5,6,5,12,13,6,13,12,-4,-5,North
12,13,North,South,East,West,5,6,5,12,13,6,13,12,-5,-6,South
12,12,North,South,East,West,5,6,5,12,13,6,13,12,-6,-7,South
12,11,North,South,East,West,5,6,5,12,13,6,13,12,-7,-8,South
12,10,North,South,East,West,5,6,5,12,13,6,13,12,-8,-9,South
13,10,North,South,East,West,5,6,5,12,13,6,13,12,-9,-10,East
13,11,North,South,East,West,5,6,5,12,13,6,13,12,-10,189,North
13,12,North,South,East,West,5,6,5,12,13,6,7,1,189,188,North
13,11,North,South,East,West,5,6,5,12,13,6,7,1,188,187,South
13,10,North,South,East,West,5,6,5,12,13,6,7,1,187,186,South
13,9,North,South,East,West,5,6,5,12,13,6,7,1,186,185,South
13,8,North,South,East,West,5,6,5,12,13,6,7,1,185,184,South
13,7,North,South,East,West,5,6,5,12,13,6,7,1,184,383,South
13,6,North,South,East,West,5,6,5,12,5,1,7,1,383,382,South
12,6,North,South,East,West,5,6,5,12,5,1,7,1,382,381,West
11,6,North,South,East,West,5,6,5,12,5,1,7,1,381,380,West
10,6,North,South,East,West,5,6,5,12,5,1,7,1,380,379,West
9,6,North,South,East,West,5,6,5,12,5,1,7,1,379,378,West
8,6,North,South,East,West,5,6,5,12,5,1,7,1,378,377,West
7,6,North,South,East,West,5,6,5,12,5,1,7,1,377,376,West
6,6,North,South,East,West,5,6,5,12,5,1,7,1,376,575,West
5,6,North,South,East,West,1,1,5,12,5,1,7,1,575,574,West
5,7,North,South,East,West,1,1,5,12,5,1,7,1,574,573,North
5,8,North,South,East,West,1,1,5,12,5,1,7,1,573,572,North
5,9,None,South,East,West,1,1,5,12,5,1,7,1,572,571,North
6,9,North,South,East,West,1,1,5,12,5,1,7,1,571,570,East
6,10,North,South,East,None,1,1,5,12,5,1,7,1,570,569,North
6,11,North,South,East,West,1,1,5,12,5,1,7,1,569,568,North
5,11,North,None,East,West,1,1,5,12,5,1,7,1,568,0,West
12,10,North,South,East,West,5,6,5,12,13,6,13,12,0,-1,Stop
12,11,North,South,East,West,5,6,5,12,13,6,13,12,-1,-2,North
12,12,North,South,East,West,5,6,5,12,13,6,13,12,-2,-3,North
12,13,North,South,East,West,5,6,5,12,13,6,13,12,-3,-4,North
12,14,None,South,East,West,5,6,5,12,13,6,13,12,-4,-5,North
12,13,North,South,East,West,5,6,5,12,13,6,13,12,-5,-6,South
12,12,North,South,East,West,5,6,5,12,13,6,13,12,-6,-7,South
12,11,North,South,East,West,5,6,5,12,13,6,13,12,-7,-8,South
12,10,North,South,East,West,5,6,5,12,13,6,13,12,-8,-9,South
12,11,North,South,East,West,5,6,5,12,13,6,13,12,-9,-10,North
12,12,North,South,East,West,5,6,5,12,13,6,13,12,-10,189,North
13,12,North,South,East,West,5,6,5,12,13,6,7,1,189,188,East
14,12,North,South,East,West,5,6,5,12,13,6,7,1,188,187,East
14,11,North,South,East,West,5,6,5,12,13,6,7,1,187,186,South
14,10,North,South,East,West,5,6,5,12,13,6,7,1,186,185,South
14,9,North,South,East,West,5,6,5,12,13,6,7,1,185,184,South
14,8,North,South,East,West,5,6,5,12,13,6,7,1,184,183,South
14,7,North,South,East,West,5,6,5,12,13,6,7,1,183,182,South
14,6,North,South,East,West,5,6,5,12,13,6,7,1,182,381,South
13,6,North,South,East,West,5,6,5,12,5,1,7,1,381,380,West
12,6,North,South,East,West,5,6,5,12,5,1,7,1,380,379,West
11,6,North,South,East,West,5,6,5,12,5,1,7,1,379,378,West
10,6,North,South,East,West,5,6,5,12,5,1,7,1,378,377,West
9,6,North,South,East,West,5,6,5,12,5,1,7,1,377,376,West
8,6,North,South,East,West,5,6,5,12,5,1,7,1,376,375,West
7,6,North,South,East,West,5,6,5,12,5,1,7,1,375,374,West
6,6,North,South,East,West,5,6,5,12,5,1,7,1,374,573,West
5,6,North,South,East,West,1,1,5,12,5,1,7,1,573,572,West
5,7,North,South,East,West,1,1,5,12,5,1,7,1,572,571,North
5,8,North,South,East,West,1,1,5,12,5,1,7,1,571,570,North
5,9,None,South,East,West,1,1,5,12,5,1,7,1,570,569,North
6,9,North,South,East,West,1,1,5,12,5,1,7,1,569,568,East
6,10,North,South,East,None,1,1,5,12,5,1,7,1,568,567,North
6,11,North,South,East,West,1,1,5,12,5,1,7,1,567,566,North
5,11,North,None,East,West,1,1,5,12,5,1,7,1,566,0,West
12,10,North,South,East,West,5,6,5,12,13,6,13,12,0,-1,Stop
12,11,North,South,East,West,5,6,5,12,13,6,13,12,-1,-2,North
12,12,North,South,East,West,5,6,5,12,13,6,13,12,-2,-3,North
12,13,North,South,East,West,5,6,5,12,13,6,13,12,-3,-4,North
12,14,None,South,East,West,5,6,5,12,13,6,13,12,-4,-5,North
