@RELATION pacmanInformation
@ATTRIBUTE PacPosX NUMERIC
@ATTRIBUTE PacPosY NUMERIC
@ATTRIBUTE ActN {North, None}
@ATTRIBUTE ActSo {South, None}
@ATTRIBUTE ActE {East, None}
@ATTRIBUTE ActW {West, None}
@ATTRIBUTE ActS {Stop, None}
@ATTRIBUTE NumAgents NUMERIC
@ATTRIBUTE G1PosX NUMERIC
@ATTRIBUTE G1PosY NUMERIC
@ATTRIBUTE G2PosX NUMERIC
@ATTRIBUTE G2PosY NUMERIC
@ATTRIBUTE G3PosX NUMERIC
@ATTRIBUTE G3PosY NUMERIC
@ATTRIBUTE G4PosX NUMERIC
@ATTRIBUTE G4PosY NUMERIC
@ATTRIBUTE DistG1 NUMERIC
@ATTRIBUTE DistG2 NUMERIC
@ATTRIBUTE DistG3 NUMERIC
@ATTRIBUTE DistG4 NUMERIC
@ATTRIBUTE NumDots NUMERIC
@ATTRIBUTE DistDot NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE PacDir {North, South, East, West, Stop, None}
@DATA
8,3,None,None,East,West,Stop,4,7,1,9,6,11,5,16,7,0,4,5,12,68,1,2673,2772,East
9,3,None,None,East,West,Stop,4,8,1,9,6,11,5,16,7,0,3,4,10,67,1,2772,2871,East
10,3,None,None,East,West,Stop,4,9,1,10,6,10,5,16,6,0,3,2,9,66,1,2871,2970,East
11,3,None,None,East,West,Stop,4,10,1,10,6,11,5,16,6,0,4,2,8,65,1,2970,3069,East
12,3,None,None,East,West,Stop,4,10,1,10,6,10,5,16,6,0,5,4,7,64,2,3069,3068,East
13,3,North,South,East,West,Stop,4,10,1,9,6,9,5,16,6,0,7,6,6,64,1,3068,3067,East
13,4,North,South,None,None,Stop,4,11,1,9,6,10,5,16,6,0,6,4,6,64,2,3067,3066,North
13,5,North,South,East,None,Stop,4,10,1,10,6,9,5,16,7,0,4,4,5,64,1,3066,3065,North
13,6,North,South,None,None,Stop,4,11,1,10,6,10,5,16,7,0,3,4,3,64,2,3065,3064,North
13,7,North,South,East,West,Stop,4,10,1,10,6,9,5,15,7,0,4,6,3,64,1,3064,3163,North
14,7,None,None,East,West,Stop,4,9,1,10,6,9,6,16,7,0,5,6,3,63,1,3163,3262,East
15,7,North,None,East,West,Stop,4,9,1,10,7,10,6,16,6,0,5,6,1,62,1,3262,3561,East
16,7,None,South,None,West,Stop,3,8,1,11,7,9,6,7,1,0,5,8,0,61,1,3561,3660,East
16,6,North,South,None,None,Stop,3,8,1,10,7,9,6,7,1,0,7,7,0,60,1,3660,3759,South
16,5,North,South,East,West,Stop,3,7,1,10,6,10,6,7,1,0,7,7,0,59,1,3759,3858,South
15,5,None,None,East,West,Stop,3,8,1,10,6,10,7,8,1,0,6,7,0,58,1,3858,3957,West
14,5,None,None,East,West,Stop,3,8,1,9,6,10,6,7,1,0,6,5,0,57,2,3957,3956,West
13,5,North,South,East,None,Stop,3,7,1,9,5,10,5,6,1,0,4,3,10,57,3,3956,3955,West
13,4,North,South,None,None,Stop,3,8,1,9,5,11,5,6,2,0,5,3,8,57,2,3955,3954,South
