@relation pacmanInformation-weka.filters.unsupervised.attribute.Remove-R24

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute ActS {Stop,None}
@attribute NumAgents numeric
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute DistG1 numeric
@attribute DistG2 numeric
@attribute DistG3 numeric
@attribute DistG4 numeric
@attribute NumDots numeric
@attribute DistDot numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
2,6,North,South,East,West,Stop,3,2,8,3,1,3,10,3,8,2,0,5,2,5,2,196,North
2,7,North,South,East,West,Stop,2,2,8,3,1,2,10,2,8,1,0,3,0,5,1,395,North
2,8,North,South,East,West,Stop,1,1,1,3,1,2,10,7,1,0,0,2,0,5,2,594,North
2,9,North,South,East,West,Stop,1,1,1,3,1,3,10,7,1,0,0,2,0,5,1,593,North
2,10,None,South,East,West,Stop,1,1,1,3,1,4,10,7,1,0,0,2,0,5,2,592,North
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,0,Stop
1,4,North,South,East,None,Stop,4,2,10,3,8,2,8,3,7,7,6,5,4,5,3,-1,North
2,4,North,South,East,West,Stop,4,1,10,3,9,2,9,2,7,7,6,5,4,5,2,-2,East
2,5,North,South,East,West,Stop,4,2,10,3,8,2,9,3,7,5,4,4,4,5,1,-3,North
2,6,North,South,East,West,Stop,4,2,9,3,9,2,9,4,7,3,4,3,3,5,2,-4,North
2,7,North,South,East,West,Stop,4,1,9,4,9,3,9,4,7,3,4,3,2,5,1,-5,North
3,7,North,South,East,West,Stop,4,1,8,3,9,4,9,4,7,3,2,3,2,5,2,-6,East
3,8,North,South,East,West,Stop,3,1,8,3,1,4,9,4,6,2,0,2,4,5,1,193,North
2,8,North,South,East,West,Stop,2,1,1,3,1,4,10,4,5,0,0,4,4,5,2,392,West
2,9,North,South,East,West,Stop,2,1,1,3,1,4,9,4,6,0,0,2,5,5,1,391,North
3,9,North,South,East,West,Stop,2,1,1,3,1,5,9,4,6,0,0,2,5,4,2,490,East
4,9,North,South,East,West,Stop,2,1,1,3,1,5,10,5,6,0,0,2,5,4,3,489,East
4,10,None,South,East,West,Stop,1,1,1,3,1,5,1,6,6,0,0,0,5,4,4,688,North
5,10,None,South,East,West,Stop,1,1,1,3,1,5,1,5,6,0,0,0,3,4,5,687,East
5,9,North,South,East,West,Stop,1,1,1,3,1,5,1,5,7,0,0,0,3,4,4,686,South
5,8,North,South,East,West,Stop,1,1,1,3,1,5,1,4,7,0,0,0,3,4,5,685,South
5,7,North,South,East,West,Stop,1,1,1,3,1,5,1,3,7,0,0,0,3,4,4,684,South
4,7,North,South,East,West,Stop,1,1,1,3,1,5,1,3,8,0,0,0,3,4,3,683,West
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,0,Stop
1,4,North,South,East,None,Stop,4,1,10,2,9,2,10,3,7,6,6,7,4,5,3,-1,North
2,4,North,South,East,West,Stop,4,1,9,1,9,2,10,2,7,6,6,6,4,5,2,-2,East
2,5,North,South,East,West,Stop,4,1,10,2,9,2,9,1,7,6,4,4,4,5,1,-3,North
2,6,North,South,East,West,Stop,4,2,10,2,10,1,9,1,8,4,4,4,2,5,2,-4,North
2,7,North,South,East,West,Stop,4,2,9,3,10,1,10,2,8,2,4,4,2,5,1,-5,North
2,8,North,South,East,West,Stop,3,1,1,4,10,1,10,3,8,0,4,3,2,5,2,194,North
3,8,North,South,East,West,Stop,2,1,1,3,10,1,10,3,7,0,2,4,0,5,1,393,East
3,9,North,South,East,West,Stop,2,1,1,2,10,1,9,7,1,0,2,2,0,4,2,492,North
3,10,None,South,East,West,Stop,1,1,1,3,1,1,9,7,1,0,0,3,0,4,3,691,North
2,10,None,South,East,West,Stop,1,1,1,3,1,1,8,7,1,0,0,3,0,4,2,690,West
2,9,North,South,East,West,Stop,1,1,1,3,1,1,8,7,1,0,0,2,0,4,1,689,South
2,8,North,South,East,West,Stop,1,1,1,3,1,1,9,7,1,0,0,2,0,4,2,688,South
1,8,North,South,East,None,Stop,1,1,1,3,1,1,10,7,1,0,0,2,0,4,1,687,West
1,9,North,South,East,None,Stop,1,1,1,3,1,2,10,7,1,0,0,2,0,3,2,786,North
2,9,North,South,East,West,Stop,1,1,1,3,1,3,10,7,1,0,0,2,0,3,3,785,East
2,10,None,South,East,West,Stop,1,1,1,3,1,3,9,7,1,0,0,2,0,3,4,784,North
3,10,None,South,East,West,Stop,1,1,1,3,1,4,9,7,1,0,0,2,0,3,5,783,East
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,0,Stop
1,4,North,South,East,None,Stop,4,2,10,2,7,2,9,3,7,7,4,6,4,5,3,-1,North
2,4,North,South,East,West,Stop,4,2,9,3,7,2,8,3,6,5,4,4,2,5,2,-2,East
2,5,North,South,East,West,Stop,4,2,8,3,7,2,7,2,6,3,3,2,1,5,1,-3,North
2,6,North,South,East,West,Stop,2,2,9,2,7,5,1,7,1,3,1,0,0,5,2,396,North
2,7,North,South,East,West,Stop,1,2,9,3,1,5,1,7,1,2,0,0,0,5,1,595,North
2,8,North,South,East,West,Stop,1,3,9,3,1,5,1,7,1,2,0,0,0,5,2,594,North
2,9,North,South,East,West,Stop,1,4,9,3,1,5,1,7,1,2,0,0,0,5,1,593,North
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,0,Stop
1,4,North,South,East,None,Stop,4,1,9,2,8,3,9,3,7,5,5,7,4,5,3,-1,North
2,4,North,South,East,West,Stop,4,1,10,3,8,3,10,2,7,7,5,7,3,5,2,-2,East
2,5,North,South,East,West,Stop,4,1,10,3,7,2,10,2,7,6,3,5,1,5,1,-3,North
2,6,North,South,East,West,Stop,3,2,10,3,8,2,9,7,1,4,3,3,0,5,2,196,North
2,7,North,South,East,West,Stop,3,3,10,4,8,1,9,7,1,4,3,3,0,5,1,195,North
2,8,North,South,East,West,Stop,3,3,9,4,8,1,9,7,1,2,2,2,0,5,2,194,North
2,9,North,South,East,West,Stop,2,3,10,4,8,5,1,7,1,2,3,0,0,5,1,393,North
2,10,None,South,East,West,Stop,2,3,10,4,7,5,1,7,1,1,5,0,0,5,2,392,North
3,10,None,South,East,West,Stop,1,1,1,3,7,5,1,7,1,0,3,0,0,5,1,591,East
3,9,North,South,East,West,Stop,1,1,1,2,7,5,1,7,1,0,3,0,0,4,2,690,South
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,0,Stop
1,4,North,South,East,None,Stop,4,2,10,3,8,2,9,3,7,7,6,6,4,5,3,-1,North
2,4,North,South,East,West,Stop,4,3,10,3,8,2,10,3,6,7,5,6,3,5,2,-2,East
2,5,North,South,East,West,Stop,4,4,10,3,8,1,10,3,6,7,4,6,2,5,1,-3,North
2,6,North,South,East,West,Stop,4,4,10,2,8,1,10,3,6,6,2,5,2,5,2,-4,North
2,7,North,South,East,West,Stop,4,3,10,2,9,2,10,4,6,4,2,3,2,5,1,-5,North
2,8,North,South,East,West,Stop,3,3,10,3,1,2,10,4,7,3,0,2,4,5,2,194,North
2,9,North,South,East,West,Stop,2,3,10,3,1,5,1,4,6,2,0,0,4,5,1,393,North
2,10,None,South,East,West,Stop,1,1,1,3,1,5,1,3,6,0,0,0,6,5,2,592,North
3,10,None,South,East,West,Stop,1,1,1,3,1,5,1,3,5,0,0,0,6,5,1,591,East
3,9,North,South,East,West,Stop,1,1,1,3,1,5,1,2,5,0,0,0,5,4,2,690,South
3,8,North,South,East,West,Stop,1,1,1,3,1,5,1,2,5,0,0,0,5,4,3,689,South
3,7,North,South,East,West,Stop,1,1,1,3,1,5,1,2,4,0,0,0,4,4,2,688,South
3,6,North,South,East,West,Stop,1,1,1,3,1,5,1,2,4,0,0,0,4,4,1,687,South
3,5,North,South,East,West,Stop,1,1,1,3,1,5,1,1,4,0,0,0,3,3,2,786,South
3,4,North,South,East,West,Stop,1,1,1,3,1,5,1,1,4,0,0,0,3,3,1,785,South
2,4,North,South,East,West,Stop,1,1,1,3,1,5,1,1,5,0,0,0,1,3,2,784,West
2,5,North,South,East,West,Stop,1,1,1,3,1,5,1,1,4,0,0,0,3,3,3,783,North
1,5,North,South,East,None,Stop,1,1,1,3,1,5,1,1,3,0,0,0,3,3,2,782,West
1,4,North,South,East,None,Stop,1,1,1,3,1,5,1,2,3,0,0,0,3,3,3,781,South
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,0,Stop
1,4,North,South,East,None,Stop,4,1,10,1,8,2,10,3,7,6,4,7,6,5,3,-1,North
1,5,North,South,East,None,Stop,4,1,10,1,7,1,10,3,8,5,2,5,6,5,2,-2,North
1,6,North,South,East,None,Stop,4,1,10,2,7,1,9,4,8,4,2,3,5,5,1,-3,North
2,6,North,South,East,West,Stop,3,1,9,3,1,1,8,4,8,4,0,3,3,5,2,196,East
2,7,North,South,East,West,Stop,3,1,8,3,1,1,7,4,7,2,0,1,3,5,1,195,North
1,7,North,South,East,None,Stop,2,1,9,3,1,5,1,4,8,2,0,0,4,4,2,494,West
1,8,North,South,East,None,Stop,2,1,10,3,1,5,1,4,8,2,0,0,3,4,1,493,North
1,9,North,South,East,None,Stop,1,1,1,3,1,5,1,4,8,0,0,0,4,3,2,792,North
2,9,North,South,East,West,Stop,1,1,1,3,1,5,1,4,8,0,0,0,2,3,1,791,East
2,8,North,South,East,West,Stop,1,1,1,3,1,5,1,4,9,0,0,0,4,3,2,790,South
3,8,North,South,East,West,Stop,1,1,1,3,1,5,1,5,9,0,0,0,4,3,1,789,East
3,9,North,South,East,West,Stop,1,1,1,3,1,5,1,5,10,0,0,0,3,2,4,888,North
3,10,None,South,East,West,Stop,1,1,1,3,1,5,1,5,10,0,0,0,3,2,5,887,North
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,0,Stop
1,4,North,South,East,None,Stop,4,1,10,2,8,2,8,3,7,6,5,5,6,5,3,-1,North
2,4,North,South,East,West,Stop,4,2,10,1,8,2,9,4,7,6,5,5,5,5,2,-2,East
2,5,North,South,East,West,Stop,4,1,10,1,8,1,9,4,7,6,4,5,3,5,1,-3,North
2,6,North,South,East,West,Stop,4,1,9,2,8,1,9,3,7,4,2,4,1,5,2,-4,North
2,7,North,South,East,West,Stop,4,1,8,2,8,2,9,3,6,2,1,2,1,5,1,-5,North
2,8,North,South,East,West,Stop,3,1,7,3,1,2,10,2,6,2,0,2,3,5,2,194,North
1,8,North,South,East,None,Stop,2,1,1,3,1,1,10,3,6,0,0,2,3,5,1,393,West
1,9,North,South,East,None,Stop,2,1,1,3,1,2,10,2,6,0,0,2,4,4,2,492,North
2,9,North,South,East,West,Stop,2,1,1,3,1,3,10,2,6,0,0,2,3,4,1,491,East
2,10,None,South,East,West,Stop,2,1,1,3,1,3,10,2,6,0,0,1,3,4,2,490,North
3,10,None,South,East,West,Stop,1,1,1,3,1,5,1,2,7,0,0,0,3,4,1,689,East
3,9,North,South,East,West,Stop,1,1,1,3,1,5,1,2,8,0,0,0,2,3,4,788,South
3,8,North,South,East,West,Stop,1,1,1,3,1,5,1,2,8,0,0,0,2,3,3,787,South
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,0,Stop
1,4,North,South,East,None,Stop,4,1,9,3,8,3,9,3,7,5,6,7,4,5,3,-1,North
2,4,North,South,East,West,Stop,4,1,8,3,9,4,9,3,6,5,6,7,4,5,2,-2,East
2,5,North,South,East,West,Stop,4,1,7,3,8,5,9,3,7,3,4,7,2,5,1,-3,North
2,6,North,South,East,West,Stop,3,1,6,3,8,5,10,3,6,1,3,7,0,5,2,196,North
1,6,North,South,East,None,Stop,2,1,1,3,7,5,9,7,1,0,3,7,0,5,1,395,West
1,7,North,South,East,None,Stop,2,1,1,4,7,5,9,7,1,0,3,6,0,4,2,494,North
2,7,North,South,East,West,Stop,2,1,1,5,7,5,10,7,1,0,3,6,0,4,3,493,East
3,7,North,South,East,West,Stop,2,1,1,4,7,6,10,7,1,0,1,6,0,4,2,492,East
4,7,North,South,East,West,Stop,1,1,1,3,1,7,10,7,1,0,0,6,0,4,3,691,East
4,8,North,South,East,West,Stop,1,1,1,3,1,7,9,7,1,0,0,4,0,4,2,690,North
4,9,North,South,East,West,Stop,1,1,1,3,1,7,9,7,1,0,0,3,0,4,1,689,North
5,9,North,South,East,West,Stop,1,1,1,3,1,7,8,7,1,0,0,3,0,4,2,688,East
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,0,Stop
1,4,North,South,East,None,Stop,4,2,10,2,7,2,8,3,7,7,4,5,5,5,3,-1,North
2,4,North,South,East,West,Stop,4,2,9,2,8,2,9,3,7,5,4,5,3,5,2,-2,East
2,5,North,South,East,West,Stop,4,1,9,2,7,3,9,3,6,5,2,5,3,5,1,-3,North
2,6,North,South,East,West,Stop,3,1,9,3,1,3,10,4,6,4,0,5,3,5,2,196,North
3,6,North,South,East,West,Stop,3,2,9,3,1,3,10,4,5,4,0,4,2,5,1,195,East
3,5,North,South,East,West,Stop,3,2,9,3,1,3,9,4,5,5,0,4,1,4,2,294,South
4,5,North,South,East,West,Stop,2,2,10,3,1,3,10,7,1,7,0,6,0,4,3,493,East
4,6,North,South,East,West,Stop,2,1,10,3,1,2,10,7,1,7,0,6,0,4,4,492,North
4,7,North,South,East,West,Stop,2,1,10,3,1,1,10,7,1,6,0,6,0,4,3,491,North
4,8,North,South,East,West,Stop,2,1,9,3,1,1,9,7,1,4,0,4,0,4,2,490,North
4,9,North,South,East,West,Stop,2,2,9,3,1,1,9,7,1,2,0,3,0,4,1,489,North
3,9,North,South,East,West,Stop,2,2,8,3,1,2,9,7,1,2,0,1,0,3,2,588,West
4,3,None,None,East,West,Stop,4,1,2,3,1,4,1,14,2,4,0,0,11,2,4,0,Stop
5,3,None,None,East,West,Stop,4,1,2,3,1,4,1,14,2,5,0,0,10,2,5,-1,East
6,3,None,None,None,West,Stop,4,1,2,3,1,4,1,14,2,6,0,0,9,2,6,-2,East
5,3,None,None,East,West,Stop,4,1,2,3,1,4,1,14,2,5,0,0,10,2,5,-3,West
4,3,None,None,East,West,Stop,4,1,2,3,1,4,1,14,2,4,0,0,11,2,4,-4,West
3,3,None,None,East,West,Stop,4,1,2,3,1,4,1,14,2,3,0,0,12,2,3,-5,West
2,3,None,None,East,West,Stop,4,1,2,3,1,4,1,14,2,2,0,0,13,2,2,-6,West
1,3,None,South,East,None,Stop,4,1,2,3,1,4,1,14,2,1,0,0,14,2,2,-7,West
1,2,North,South,None,None,Stop,3,1,1,3,1,4,1,14,2,0,0,0,13,2,1,192,South
1,1,North,None,East,None,Stop,3,1,1,3,1,4,1,14,2,0,0,0,14,1,1,691,South
