@relation pacmanInformation-weka.filters.unsupervised.attribute.Remove-R24

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute ActS {Stop,None}
@attribute NumAgents numeric
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute DistG1 numeric
@attribute DistG2 numeric
@attribute DistG3 numeric
@attribute DistG4 numeric
@attribute NumDots numeric
@attribute DistDot numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
7,13,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,9,3,13,0,1,15,181,West
6,13,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,8,2,14,0,1,16,180,West
5,13,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,7,1,15,0,1,17,179,West
5,12,North,South,East,West,Stop,2,5,6,3,1,13,6,7,1,6,0,14,0,1,16,378,South
6,12,North,South,East,West,Stop,2,5,6,3,1,13,6,7,1,7,0,13,0,1,15,377,East
6,11,North,South,East,West,Stop,2,5,6,3,1,13,6,7,1,6,0,12,0,1,14,376,South
6,10,North,South,East,None,Stop,2,5,6,3,1,13,6,7,1,5,0,11,0,1,13,375,South
6,9,North,South,East,West,Stop,2,5,6,3,1,13,6,7,1,4,0,10,0,1,12,374,South
6,8,North,South,East,West,Stop,2,5,6,3,1,13,6,7,1,3,0,9,0,1,13,373,South
5,8,North,South,East,West,Stop,2,5,6,3,1,13,6,7,1,2,0,10,0,1,14,372,West
5,7,North,South,East,West,Stop,2,5,6,3,1,13,6,7,1,1,0,9,0,1,15,371,South
5,6,North,South,East,West,Stop,1,1,1,3,1,13,6,7,1,0,0,8,0,1,16,570,South
6,6,North,South,East,West,Stop,1,1,1,3,1,13,6,7,1,0,0,7,0,1,15,569,East
7,6,North,South,East,West,Stop,1,1,1,3,1,13,6,7,1,0,0,6,0,1,14,568,East
8,6,North,South,East,West,Stop,1,1,1,3,1,13,6,7,1,0,0,5,0,1,13,567,East
9,6,North,South,East,West,Stop,1,1,1,3,1,13,6,7,1,0,0,4,0,1,12,566,East
10,6,North,South,East,West,Stop,1,1,1,3,1,13,6,7,1,0,0,3,0,1,11,565,East
11,6,North,South,East,West,Stop,1,1,1,3,1,13,6,7,1,0,0,2,0,1,10,564,East
12,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,11,9,5,3,1,7,0,Stop
12,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,11,9,5,3,1,7,-1,Stop
12,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,11,9,5,3,1,7,-2,Stop
13,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,12,10,4,2,1,6,-3,East
13,11,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,13,9,5,1,1,7,-4,North
13,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,12,10,4,2,1,6,-5,South
13,9,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,11,11,3,3,1,5,-6,South
13,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,12,10,4,2,1,6,-7,North
13,11,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,13,9,5,1,1,7,-8,North
13,12,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,14,8,6,0,1,8,191,North
13,11,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,13,9,5,0,1,7,190,South
13,10,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,12,10,4,0,1,6,189,South
13,9,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,11,11,3,0,1,5,188,South
13,8,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,10,12,2,0,1,6,187,South
13,7,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,9,13,1,0,1,7,186,South
13,6,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,8,14,0,0,1,8,385,South
12,6,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,7,13,0,0,1,9,384,West
11,6,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,6,12,0,0,1,10,383,West
10,6,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,5,11,0,0,1,11,382,West
9,6,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,4,10,0,0,1,12,381,West
8,6,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,3,9,0,0,1,13,380,West
7,6,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,2,8,0,0,1,14,379,West
6,6,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,1,7,0,0,1,15,378,West
5,6,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,6,0,0,1,16,577,West
5,7,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,5,0,0,1,15,576,North
5,8,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,4,0,0,1,14,575,North
5,9,None,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,3,0,0,1,13,574,North
6,9,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,4,0,0,1,12,573,East
6,10,North,South,East,None,Stop,1,1,1,5,12,5,1,7,1,0,3,0,0,1,13,572,North
6,11,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,2,0,0,1,14,571,North
6,12,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,1,0,0,1,15,570,North
6,13,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,2,0,0,1,16,569,North
