@relation pacmanInformation-weka.filters.unsupervised.attribute.Remove-R24

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute ActS {Stop,None}
@attribute NumAgents numeric
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute DistG1 numeric
@attribute DistG2 numeric
@attribute DistG3 numeric
@attribute DistG4 numeric
@attribute NumDots numeric
@attribute DistDot numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
12,6,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,7,0,0,0,1,9,576,West
11,6,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,6,0,0,0,1,10,575,West
10,6,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,5,0,0,0,1,11,574,West
9,6,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,4,0,0,0,1,12,573,West
8,6,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,3,0,0,0,1,13,572,West
7,6,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,2,0,0,0,1,14,571,West
6,6,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,1,0,0,0,1,15,570,West
12,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,11,9,5,3,1,7,0,Stop
11,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,10,8,6,4,1,8,-1,West
10,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,9,7,7,5,1,9,-2,West
9,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,8,6,8,6,1,10,-3,West
8,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,7,5,9,7,1,11,-4,West
8,9,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,6,6,8,8,1,10,-5,South
8,8,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,5,7,7,9,1,11,-6,South
7,8,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,4,6,8,10,1,12,-7,West
6,8,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,3,5,9,11,1,13,-8,West
5,8,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,2,4,10,12,1,14,-9,West
5,7,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,1,5,9,13,1,15,-10,South
5,6,North,South,East,West,Stop,3,1,1,5,12,13,6,13,12,0,6,8,14,1,16,189,South
6,6,North,South,East,West,Stop,3,1,1,5,12,13,6,13,12,0,7,7,13,1,15,188,East
7,6,North,South,East,West,Stop,3,1,1,5,12,13,6,13,12,0,8,6,12,1,14,187,East
8,6,North,South,East,West,Stop,3,1,1,5,12,13,6,13,12,0,9,5,11,1,13,186,East
9,6,North,South,East,West,Stop,3,1,1,5,12,13,6,13,12,0,10,4,10,1,12,185,East
10,6,North,South,East,West,Stop,3,1,1,5,12,13,6,13,12,0,11,3,9,1,11,184,East
11,6,North,South,East,West,Stop,3,1,1,5,12,13,6,13,12,0,12,2,8,1,10,183,East
12,6,North,South,East,West,Stop,3,1,1,5,12,13,6,13,12,0,13,1,7,1,9,182,East
13,6,North,South,East,West,Stop,2,1,1,5,12,5,1,13,12,0,14,0,6,1,8,381,East
13,7,North,South,East,West,Stop,2,1,1,5,12,5,1,13,12,0,13,0,5,1,7,380,North
13,8,North,South,East,West,Stop,2,1,1,5,12,5,1,13,12,0,12,0,4,1,6,379,North
13,9,North,South,East,West,Stop,2,1,1,5,12,5,1,13,12,0,11,0,3,1,5,378,North
13,10,North,South,East,West,Stop,2,1,1,5,12,5,1,13,12,0,10,0,2,1,6,377,North
13,11,North,South,East,West,Stop,2,1,1,5,12,5,1,13,12,0,9,0,1,1,7,376,North
13,12,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,8,0,0,1,8,575,North
12,12,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,7,0,0,1,9,574,West
11,12,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,6,0,0,1,10,573,West
10,12,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,5,0,0,1,11,572,West
9,12,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,4,0,0,1,12,571,West
8,12,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,3,0,0,1,13,570,West
7,12,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,2,0,0,1,14,569,West
12,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,11,9,5,3,1,7,0,Stop
12,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,11,9,5,3,1,7,-1,Stop
12,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,11,9,5,3,1,7,-2,Stop
12,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,11,9,5,3,1,7,-3,Stop
12,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,11,9,5,3,1,7,-4,Stop
12,11,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,12,8,6,2,1,8,-5,North
12,12,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,13,7,7,1,1,9,-6,North
13,12,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,14,8,6,0,1,8,193,East
13,11,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,13,9,5,0,1,7,192,South
13,10,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,12,10,4,0,1,6,191,South
13,9,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,11,11,3,0,1,5,190,South
13,8,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,10,12,2,0,1,6,189,South
13,7,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,9,13,1,0,1,7,188,South
13,6,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,8,14,0,0,1,8,387,South
12,6,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,7,13,0,0,1,9,386,West
11,6,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,6,12,0,0,1,10,385,West
10,6,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,5,11,0,0,1,11,384,West
9,6,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,4,10,0,0,1,12,383,West
8,6,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,3,9,0,0,1,13,382,West
7,6,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,2,8,0,0,1,14,381,West
6,6,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,1,7,0,0,1,15,380,West
5,6,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,6,0,0,1,16,579,West
5,7,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,5,0,0,1,15,578,North
5,8,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,4,0,0,1,14,577,North
5,9,None,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,3,0,0,1,13,576,North
6,9,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,4,0,0,1,12,575,East
6,10,North,South,East,None,Stop,1,1,1,5,12,5,1,7,1,0,3,0,0,1,13,574,North
6,11,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,2,0,0,1,14,573,North
5,11,North,None,East,West,Stop,1,1,1,5,12,5,1,7,1,0,1,0,0,1,15,572,West
12,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,11,9,5,3,1,7,0,Stop
12,11,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,12,8,6,2,1,8,-1,North
12,12,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,13,7,7,1,1,9,-2,North
12,13,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,14,8,8,2,1,10,-3,North
12,14,None,South,East,West,Stop,4,5,6,5,12,13,6,13,12,15,9,9,3,1,11,-4,North
13,14,None,South,East,West,Stop,4,5,6,5,12,13,6,13,12,16,10,8,2,1,10,-5,East
13,13,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,15,9,7,1,1,9,-6,South
13,12,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,14,8,6,0,1,8,193,South
13,11,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,13,9,5,0,1,7,192,South
13,10,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,12,10,4,0,1,6,191,South
13,9,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,11,11,3,0,1,5,190,South
13,8,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,10,12,2,0,1,6,189,South
13,7,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,9,13,1,0,1,7,188,South
